Time,Source Voltage,Source Current,Source Power,RCD Clamp Current,RCD Clamp Voltage,RCD Clamp Dissipation,Load1,Load Current,Load Power,Primary Winding voltage,Primary Winding Current,Secondary Winding voltage,Secondary Winding Current,MOSFET voltage,MOSFET Current,MOSFET junction Temp,MOSFET switching losses,MOSFET conduction losses,Diode voltage,Diode Current,Diode junction Temp,Diode conduction losses,Diode switching losses,Cout Voltage,Cout Current,Cout Dissipation,Power,Vout,Iout,Total Power Loss,Input Power,Output Power,Efficiency,SHUNT Voltage,SHUNT Current,SHUNT Dissipation
0.0498,24,0.0,0.0,0.0,24.0,0.0861713215708732,12.000309944152832,2.400062084197998,28.801488876342773,24.0,-0.1531068384647369,12.539632797241213,-3.4830703735351562,1.7347234759768075e-18,0.0,25.066408157348636,0.0,0.0,-0.5393227934837341,3.4830703735351562,20.606582641601562,3.2964062690734863,0,-12.000309944152832,-1.0830082893371582,0,28.801488876342773,12.000309944152832,2.400062084197998,2.732698917388916,30.962371826171875,28.22967338562012,91.17412567138673,0.0,0.0,0.0
0.0498000000000014,24,6.716629030734113e-08,1.611990910532768e-06,0.0,24.0,0.0861713215708732,12.000309944152832,2.400062084197998,28.801488876342773,24.0,-0.1531067639589309,12.539632797241213,-3.4830701351165767,4.500141592700401e-09,6.716629030734113e-08,25.066408157348636,0.0,9.253179821708088e-17,-0.5393227934837341,3.4830701351165767,20.606582641601562,3.2964062690734863,0,-12.000309944152832,-1.0830081701278689,0,28.801488876342773,12.000309944152832,2.400062084197998,2.732698917388916,30.962371826171875,28.22967338562012,91.17412567138673,4.029977462849388e-10,6.716629030734113e-08,2.7067862617436002e-17
0.049800025000001,24,1.183094501495361,28.394268035888672,0.0,23.913633346557617,0.0861713215708732,12.00030517578125,2.4000611305236816,28.80146598815918,23.913633346557617,1.029388666152954,12.451300621032717,-1.274877667427063,0.0792673304677009,1.183094501495361,25.066404342651367,0.0,0.0287095978856086,-0.4509951174259185,1.274877667427063,20.60658073425293,1.1278111934661863,0,-12.00030517578125,1.1251834630966189,0,28.80146598815918,12.00030517578125,2.4000611305236816,2.732698917388916,30.962371826171875,28.22967338562012,91.17412567138673,0.0070985667407512,1.183094501495361,0.0083982748910784
0.0498000394943634,24,1.866147875785828,44.78754806518555,0.0,23.863771438598636,0.0861713215708732,12.000073432922363,2.400014638900757,28.800350189208984,23.863771438598636,1.7120958566665647,12.400073051452637,-3.0355451485775115e-10,0.125031903386116,1.866147875785828,25.06640243530273,0.0,0.0714299529790878,-0.4000000059604644,3.0355451485775115e-10,20.60657501220703,7.673616248395775e-20,0,-12.000073432922363,2.400014638900757,0,28.800350189208984,12.000073432922363,2.400014638900757,2.732698917388916,30.962371826171875,28.22967338562012,91.17412567138673,0.0111968871206045,1.866147875785828,0.0208950471132993
0.0498000394943649,24,1.866147875785828,44.78754806518555,0.0,23.863771438598636,0.0861713215708732,12.000073432922363,2.400014638900757,28.800350189208984,23.863771438598636,1.7120958566665647,-12.70708465576172,0.0,0.125031903386116,1.866147875785828,25.06640243530273,0.0,0.0714299529790878,24.70715713500977,0.0,20.60657501220703,0.0,0,-12.000073432922363,2.400014638900757,0,28.800350189208984,12.000073432922363,2.400014638900757,2.732698917388916,30.962371826171875,28.22967338562012,91.17412567138673,0.0111968871206045,1.866147875785828,0.0208950471132993
0.0498000546207736,24,1.8705275058746336,44.89265823364258,0.0,23.86345100402832,0.0861713141202926,11.999743461608888,2.3999485969543457,28.79876708984375,23.86345100402832,1.716114521026611,-12.706912994384766,0.0,0.1253253370523452,1.8705275058746336,25.066400527954105,0.0,0.0717656165361404,24.706655502319336,0.0,20.6065673828125,0.0,0,-11.999743461608888,2.3999485969543457,0,28.79876708984375,11.999743461608888,2.3999485969543457,2.732698917388916,30.962371826171875,28.22967338562012,91.17412567138673,0.0112231653183698,1.8705275058746336,0.0209932383149862
0.0498000697471824,24,1.87490713596344,44.99776840209961,0.0,23.86313247680664,0.0861713141202926,11.999412536621094,2.3998825550079346,28.797182083129883,23.86313247680664,1.7201331853866575,-12.706740379333496,0.0,0.1256187707185745,1.87490713596344,25.06639862060547,0.0,0.0721020698547363,24.706153869628903,0.0,20.60655975341797,0.0,0,-11.999412536621094,2.3998825550079346,0,28.797182083129883,11.999412536621094,2.3998825550079346,2.732698917388916,30.962371826171875,28.22967338562012,91.17412567138673,0.0112494425848126,1.87490713596344,0.0210916586220264
0.0498000848735912,24,1.8792866468429563,45.10287857055664,0.0,23.862812042236328,0.086171306669712,11.999082565307615,2.3998165130615234,28.79559898376465,23.862812042236328,1.7241517305374146,-12.706568717956545,0.0,0.1259122043848037,1.8792866468429563,25.06639862060547,0.0,0.0724393129348754,24.70565223693848,0.0,20.60655212402344,0.0,0,-11.999082565307615,2.3998165130615234,0,28.79559898376465,11.999082565307615,2.3998165130615234,2.732698917388916,30.962371826171875,28.22967338562012,91.17412567138673,0.0112757198512554,1.8792866468429563,0.0211903098970651
0.0498000999999985,24,1.8836662769317627,45.20798873901367,0.0,23.862491607666016,0.086171306669712,11.99875259399414,2.3997507095336914,28.79401397705078,23.862491607666016,1.7281703948974607,-12.706396102905272,0.0,0.126205638051033,1.8836662769317627,25.06639671325684,0.0,0.0727773383259773,24.70514869689941,0.0,20.606544494628903,0.0,0,-11.99875259399414,2.3997507095336914,0,28.79401397705078,11.99875259399414,2.3997507095336914,2.732698917388916,30.962371826171875,28.22967338562012,91.17412567138673,0.0113019971176981,1.8836662769317627,0.0212891921401023
0.0498001,24,1.8836662769317627,45.20798873901367,0.0,23.862491607666016,0.086171306669712,11.99875259399414,2.3997507095336914,28.79401397705078,23.862491607666016,1.7281703948974607,-12.706396102905272,0.0,0.126205638051033,1.8836662769317627,25.06639671325684,0.0,0.0727773383259773,24.70514869689941,0.0,20.606544494628903,0.0,0,-11.99875259399414,2.3997507095336914,0,28.79401397705078,11.99875259399414,2.3997507095336914,2.732698917388916,30.962371826171875,28.22967338562012,91.17412567138673,0.0113019971176981,1.8836662769317627,0.0212891921401023
